Escola,Código INEP,UF,Município,Localização,Endereço,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
IFSC - CAMPUS SAO MIGUEL DO OESTE,42011256,SC,São Miguel do Oeste,Urbana,"RUA 22 DE ABRIL, 2440 SAO LUIZ. 89900-000 São Miguel do Oeste - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-26.74232803,-53.52624353
IFC - CAMPUS IBIRAMA,42011477,SC,Ibirama,Urbana,"RUA DR. GETULIO VARGAS, 3006 BELA VISTA. 89140-000 Ibirama - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-27.04907,-49.53865
IFSC - CAMPUS CRICIUMA,42012872,SC,Criciúma,Urbana,"RODOVIA SC-443, 845 VILA RICA. 88813-600 Criciúma - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-28.6788,-49.33195
IFC - CAMPUS SAO FRANCISCO DO SUL,42020867,SC,São Francisco do Sul,Urbana,"RODOVIA DUQUE DE CAXIAS, 6750 KM 6. IPEROBA. 89240-000 São Francisco do Sul - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-26.2177982,-48.5702874
IFC - CAMPUS ARAQUARI,42021707,SC,Araquari,Urbana,"RODOVIA BR 280 KM 27, 5200 COLEGIO AGRICOLA. 89245-000 Araquari - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-26.39469,-48.73851
IFC - CAMPUS LUZERNA,42047692,SC,Luzerna,Urbana,"RUA VIGARIO FREI JOAO, 550 CENTRO. 89609-000 Luzerna - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-27.1335212,-51.4638447
IFC - CAMPUS CONCORDIA,42048230,SC,Concórdia,Urbana,"RODOVIA SC-283, FRAGOSOS. 89703-720 Concórdia - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-27.20421706,-52.08314534
IFSC - CAMPUS PALHOCA BILINGUE,42066670,SC,Palhoça,Urbana,"RUA JOAO BERNADINO DA ROSA, 395 PEDRA BRANCA. 88137-010 Palhoça - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-27.63008,-48.6889
IFSC - CAMPUS CACADOR,42066760,SC,Caçador,Urbana,"AVENIDA FAHDO THOME, 3000 CENTRO. 89503-550 Caçador - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-26.77955288,-51.03936848
IFC - CAMPUS CAMBORIU,42070406,SC,Camboriú,Urbana,"RUA JOAQUIM GARCIA, S/N CAMPUS CAMBORIU. CENTRO. 88340-055 Camboriú - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-27.01603368,-48.65889821
IFSC - CAMPUS LAGES,42073510,SC,Lages,Urbana,"RUA HEITOR VILLA-LOBOS, 222 SAO FRANCISCO. 88506-400 Lages - SC.",Entre 201 e 500 matrículas de escolarização,Educação Profissional,-27.80508374,-50.33778688
IFSC - CAMPUS ITAJAI,42073529,SC,Itajaí,Urbana,"AVENIDA VEREADOR ABRAHAO JOAO FRANCISCO, 3899 RESSACADA. 88307-303 Itajaí - SC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-26.93092233,-48.68512259
IFSC - CAMPUS CANOINHAS,42073545,SC,Canoinhas,Urbana,"AVENIDA EXPEDICIONARIOS, 2150 CAMPO DA AGUA VERDE. 89466-312 Canoinhas - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-26.18428333,-50.36836833
IFSC - CAMPUS GASPAR,42079950,SC,Gaspar,Urbana,"RUA ADRIANO KORMANN, 510 BELA VISTA. 89111-009 Gaspar - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-26.9007,-49.00416
IFSC - CAMPUS XANXERE,42080096,SC,Xanxerê,Urbana,"RUA EUCLIDES HACK, 1603 VENEZA. 89820-000 Xanxerê - SC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-26.8768,-52.41869
IFSC - CAMPUS URUPEMA,42081246,SC,Urupema,Urbana,"ESTRADA DO SENADINHO, 0 SEM NUMERO. CENTRO. 88625-000 Urupema - SC.",Entre 51 e 200 matrículas de escolarização,"Educação Profissional, Educação de Jovens Adultos",-27.95797147,-49.87229569
IFSC - CAMPUS JARAGUA DO SUL-RAU,42081599,SC,Jaraguá do Sul,Urbana,"RUA DOS IMIGRANTES, 445 RAU. 89254-430 Jaraguá do Sul - SC.",Entre 501 e 1000 matrículas de escolarização,Educação Profissional,-26.46823617,-49.11345679
