Escola,Código INEP,UF,Município,Localização,Endereço,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
IFAC - CAMPUS CRUZEIRO DO SUL,12030937,AC,Cruzeiro do Sul,Rural,"ESTRADA DA APADEQ, 1192 RML FAZENDA MODELO. NOVA OLINDA. 69980-000 Cruzeiro do Sul - AC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-7.5817149,-72.7413246
IFAC - CAMPUS SENA MADUREIRA,12030945,AC,Sena Madureira,Urbana,"FRANCISCA SOUZA DA SILVA, 318 GETULIO NUNES SAMPAIO. 69940-000 Sena Madureira - AC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.0820318,-68.6797884
IFAC - CAMPUS XAPURI,12030953,AC,Xapuri,Urbana,"CORONEL BRANDAO, 1622 CENTRO. 69930-000 Xapuri - AC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.66080029,-68.49409908
IFAC - CAMPUS RIO BRANCO,12030961,AC,Rio Branco,Urbana,"AVENIDA BRASIL, 920 CONJUNTO XAVIER MAIA. 69903-068 Rio Branco - AC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.9310661,-67.8178746
IFAC - CAMPUS AVANCADO RIO BRANCO BAIXADA DO SOL,12032093,AC,Rio Branco,Urbana,"RUA RIO GRANDE DO SUL, 2600 AEROPORTO VELHO. 69911-030 Rio Branco - AC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.984810486,-67.82242095
IFAC - CAMPUS TARAUACA,12032441,AC,Tarauacá,Urbana,"BR 364, 821 PREDIO. RODOVIA. 69970-970 Tarauacá - AC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-8.1433284,-70.7708514
IFAL - CAMPUS MACEIO,27037223,AL,Maceió,Urbana,"AVENIDA DO FERROVIARIO, 530 CENTRO. 57020-600 Maceió - AL.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.66424835,-35.73201026
IFAL - CAMPUS SATUBA,27041042,AL,Satuba,Urbana,"RUA 17 DE AGOSTO, SN ZONA RURAL. 57120-000 Satuba - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.573547617,-35.82053091
IFAL - CAMPUS SANTANA DO IPANEMA,27047580,AL,Santana do Ipanema,Urbana,"AL 130, 1609 DOMINGOS ACACIO. 57500-000 Santana do Ipanema - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.38456859,-37.24318906
IFAL - CAMPUS SAO MIGUEL DOS CAMPOS,27047601,AL,São Miguel dos Campos,Urbana,"AVENIDA PROJETADA 01, QUADRA B6, 41 HELIO JATOBA III. 57246-615 São Miguel dos Campos - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.78179893,-36.0958603
IFAL - CAMPUS PIRANHAS,27047628,AL,Piranhas,Urbana,"AVENIDA SERGIPE, 01 QUADRA H. CASCAVEL. 57466-034 Piranhas - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.622022,-37.76583
IFAL - CAMPUS ARAPIRACA,27047636,AL,Arapiraca,Urbana,"RODOVIA AL-110, 359 DEPUTADO NEZINHO. 57317-291 Arapiraca - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.745513,-36.63129
IFAL - CAMPUS MURICI,27047733,AL,Murici,Urbana,"LOTEAMENTO PREFEITO PEDRO TENORIO RAPOSO, S/N BR 104, KM 57. 57820-000 Murici - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.3085417,-35.9362456
IFAL - CAMPUS MARAGOGI,27047750,AL,Maragogi,Urbana,"RODOVIA AL 101 NORTE, S/N KM 139. PEROBA. 57955-000 Maragogi - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-8.94335716,-35.1744374
IFAL - CAMPUS PENEDO,27047830,AL,Penedo,Urbana,"RODOVIA ENGENHEIRO JOAQUIM GONCALVES, S/N LOTEAMENTO SAO JOSE. DOM CONSTANTINO. 57200-000 Penedo - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.28627454,-36.5442821
IFAL - CAMPUS BATALHA,27050556,AL,Batalha,Urbana,"AVENIDA GOVERNADOR AFRANIO LAGES, S/N POLO AGROALIMENTAR. CENTRO. 57420-000 Batalha - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.669296667,-37.12711167
IFAL - CAMPUS RIO LARGO,27050564,AL,Rio Largo,Urbana,"RODOVIA BR 104 KM 91, S/Nº PREFEITO ANTONIO LINS DE SOUZA. 57100-000 Rio Largo - AL.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.51130292,-35.80387673
IFAL - CAMPUS CORURIPE,27050572,AL,Coruripe,Urbana,"RODOVIA ENGENHEIRO GUTTEMBERG BREDA NETO, S/N AL-101 SUL. ALTO DO CRUZEIRO. 57230-000 Coruripe - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.12609575,-36.15650743
IFAL - CAMPUS VICOSA,27050580,AL,Viçosa,Urbana,"RUA MOTA LIMA, 35 CENTRO. 57700-000 Viçosa - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.371177,-36.2414
IFAL - CAMPUS MACEIO BENEDITO BENTES,27051757,AL,Maceió,Urbana,"AVENIDA BENEDITO BENTES, S/N BENEDITO BENTES. 57084-649 Maceió - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.551495416,-35.72943463
IFAL - CAMPUS PALMEIRA DOS INDIOS,27215830,AL,Palmeira dos Índios,Urbana,"AVENIDA ALAGOAS, S/N PALMEIRA DE FORA. 57608-180 Palmeira dos Índios - AL.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.406661667,-36.65528333
IFAL - CAMPUS MARECHAL DEODORO,27219640,AL,Marechal Deodoro,Urbana,"RUA LOURIVAL ALFREDO, 176 POEIRA. 57160-000 Marechal Deodoro - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.712888,-35.89345
UFAL - ESCOLA TECNICA DE ARTES,27320014,AL,Maceió,Urbana,"PRACA VISCONDE DE SINIMBU, CENTRO. 57020-720 Maceió - AL.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,-9.667688,-35.73337
IFAM - CAMPUS MANAUS ZONA LESTE,13026844,AM,Manaus,Urbana,"AVENIDA COSME FERREIRA, 8045 SAO JOSE OPERARIO. 69083-000 Manaus - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-3.079984312,-59.93390095
IFAM - CAMPUS MANAUS CENTRO,13029916,AM,Manaus,Urbana,"AV. SETE DE SETEMBRO, 1975 CENTRO. 69020-120 Manaus - AM.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-3.1342815,-60.0127673
IFAM - CAMPUS SAO GABRIEL DA CACHOEIRA,13057600,AM,São Gabriel da Cachoeira,Urbana,"BR 307 KM 03 - ESTRADA DO AEROPORTO, S/N IFAM CSGC. CACHOEIRINHA. 69750-000 São Gabriel da Cachoeira - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",                              ,                              
IFAM - CAMPUS MANAUS DISTRITO INDUSTRIAL,13092197,AM,Manaus,Urbana,"AVENIDA GOVERNADOR DANILO AREOSA, 1672 DISTRITO INDUSTRIAL I. 69075-351 Manaus - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-3.13557217,-59.97452858
IFAM - CAMPUS HUMAITA,13101137,AM,Humaitá,Rural,"BR 230, KM 7, S/N ZONA RURAL. 69800-000 Humaitá - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-7.551353962,-63.07198711
IFAM - CAMPUS ITACOATIARA,13101145,AM,Itacoatiara,Rural,"RODOVIA AM-010 ZONA DE EXPANSAO, S/N KM 08. AREA RURAL DE ITACOATIARA. 69109-899 Itacoatiara - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-3.073878333,-58.4663
IFAM - CAMPUS EIRUNEPE,13101153,AM,Eirunepé,Urbana,"RUA MONSENHOR COUTINHO, S/N APARECIDA. 69880-000 Eirunepé - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-6.66261103,-69.86360317
IFAM - CAMPUS TEFE,13101170,AM,Tefé,Urbana,"RUA JOAO ESTEFANO, 625 ANEXO A UAB. JURUA. 69552-250 Tefé - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-3.352170973,-64.7184133
IFAM - CAMPUS AVANCADO MANACAPURU,13102478,AM,Manacapuru,Urbana,"ESTRADA MANOEL URBANO, S/N KM 77. MIRITI. 69401-830 Manacapuru - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-3.2613772,-60.6315029
IFAM - CAMPUS AVANCADO IRANDUBA,13106619,AM,Iranduba,Rural,"RODOVIA CARLOS BRAGA KM 1, SN ZONA RURAL. 69415-000 Iranduba - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",                              ,                              
IFAM - CAMPUS AVANCADO BOCA DO ACRE,13107348,AM,Boca do Acre,Urbana,"RUA FONTENELE DE CASTRO, 36 PLATO DE PIQUIA. 69850-000 Boca do Acre - AM.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,                              ,                              
IFAM - CAMPUS COARI,13116401,AM,Coari,Urbana,"ESTRADA COARI ITAPEUA, S/N KM 02. ITAMARATY. 69460-000 Coari - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-4.105842914,-63.13348065
IFAM - CAMPUS MAUES,13321234,AM,Maués,Urbana,"ESTRADA DO MORAES, S/N SENADOR JOSE ESTEVES. 69190-000 Maués - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-3.397225379,-57.69660761
IFAM - CAMPUS PRESIDENTE FIGUEIREDO,13322230,AM,Presidente Figueiredo,Urbana,"AVENIDA ONCA PINTADA, 1308 GALO DA SERRA. 69735-000 Presidente Figueiredo - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-2.04930765,-60.0040129
IFAM - CAMPUS TABATINGA,13322249,AM,Tabatinga,Urbana,"RUA SANTOS DUMONT, S/Nº EM AREA DE EXPANSAO. VILA VERDE. 69640-000 Tabatinga - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-4.2314422,-69.9148847
IFAM - CAMPUS PARINTINS,13323237,AM,Parintins,Urbana,"ESTRADA ODOVALDO NOVO, S/N DJARD VIEIRA. 69152-470 Parintins - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-2.65456,-56.76885
IFAM - CAMPUS LABREA,13324233,AM,Lábrea,Urbana,"RUA 22 DE OUTUBRO, 3893 IFAM. VILA FALCAO. 69830-000 Lábrea - AM.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-7.25089296,-64.78362682
IFAP - CAMPUS LARANJAL DO JARI,16007123,AP,Laranjal do Jari,Urbana,"NILO PECANHA, 1263 PROXIMO AO DETRAN AP. CAJARI. 68920-000 Laranjal do Jari - AP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-.8220449,-52.51543
IFAP - CAMPUS MACAPA,16007310,AP,Macapá,Urbana,"RODOVIA BR-210, S/N BRASIL NOVO. 68909-398 Macapá - AP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",.0866988441,-51.09149214
IFAP - CAMPUS SANTANA,16011589,AP,Santana,Urbana,"RODOVIA DUCA SERRA, 1133 FONTE NOVA. 68928-084 Santana - AP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-.020442903,-51.18158221
IFAP - CAMPUS PORTO GRANDE,16011678,AP,Porto Grande,Urbana,"BR 156, SN PARABELA. 68997-000 Porto Grande - AP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",.6974991085,-51.38798352
IFAP - CAMPUS AVANCADO OIAPOQUE,16011910,AP,Oiapoque,Urbana,"RUA JOAQUIM CAETANO DA SILVA, 870 CENTRO. 68980-000 Oiapoque - AP.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,3.8486816408,-51.83253486
IFAP - CENTRO DE REFERENCIA EM EAD PEDRA BRANCA DO AMAPARI,16011929,AP,Pedra Branca do Amapari,Urbana,"AVENIDA FRANCISCO DUTRA, S/N CENTRAL. 68945-000 Pedra Branca do Amapari - AP.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,.7798504045,-51.951852
IF BAIANO - CAMPUS CATU,29158419,BA,Catu,Urbana,"RUA BARAO DE CAMACARI, 118 BARAO DE CAMACARI. 48110-000 Catu - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-12.35947812,-38.37442255
IFBA - SALVADOR,29196442,BA,Salvador,Urbana,"RUA EMIDIO DOS SANTOS, S/N, BARBALHO, 40301-015 Salvador - BA.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-12.96263953,-38.50044323
IF BAIANO - CAMPUS ITAPETINGA,29282900,BA,Itapetinga,Urbana,"RODOVIA ITAPETINGA ITORORO, S/N KM 02. CLEROLANDIA. 45700-000 Itapetinga - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-15.24560056,-40.22815157
IF BAIANO - CAMPUS VALENCA,29291119,BA,Valença,Urbana,"RUA GLICERIO TAVARES, SN BATE QUENTE. 45400-000 Valença - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-13.37309793,-39.08355995
IF BAIANO - CAMPUS URUCUCA,29316138,BA,Uruçuca,Urbana,"RUA DR. JOAO FIRMINO NASCIMENTO, S/N CENTRO. 45680-000 Uruçuca - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-14.59541308,-39.28360175
IF BAIANO - CAMPUS TEIXEIRA DE FREITAS,29327954,BA,Teixeira de Freitas,Rural,"BR 101, KM 882, S/N CAIXA POSTAL 66. ZONA RURAL. 45985-970 Teixeira de Freitas - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-17.57502779,-39.73348189
IFBA - CAMPUS EUNAPOLIS,29333466,BA,Eunápolis,Urbana,"AVENIDA DAVID JONAS FADINI, SN JUCA ROSA. 45823-431 Eunápolis - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-16.34934,-39.57814
IF BAIANO - CAMPUS GUANAMBI,29339227,BA,Guanambi,Rural,"ZONA RURAL, SN DISTRITO DE CERAIMA. 46430-000 Guanambi - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-14.30179941,-42.69361774
IFBA - CAMPUS BARREIRAS,29340624,BA,Barreiras,Urbana,"RUA GILENO DE SA OLIVEIRA, 271 PREDIO. RECANTO DOS PASSAROS. 47808-006 Barreiras - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-12.1530361,-44.974113
IFBA - CAMPUS VALENCA TENTO,29348196,BA,Valença,Urbana,"RUA VEREADOR ROMEU AGRARIO MARTINS, SN ANTIGO CEFET. TENTO. 45400-000 Valença - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-13.37277414,-39.06136335
IFBA - VITORIA DA CONQUISTA,29361540,BA,Vitória da Conquista,Urbana,"AV AMAZONAS 3150 ZABELE, 45075-265 Vitória da Conquista - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-14.84175,-40.87707
IF BAIANO - CAMPUS SANTA INES,29369100,BA,Santa Inês,Rural,"KM2,5 DA BR 420 RODOVIA SANTA INES-UBAIRA, S/N ZONA RURAL. 45320-000 Santa Inês - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-13.27727893,-39.80732021
IF BAIANO - CAMPUS BOM JESUS DA LAPA,29396581,BA,Bom Jesus da Lapa,Urbana,"BR 349, KM 14, S/N PROJETO FORMOSO. ZONA RURAL. 47600-000 Bom Jesus da Lapa - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-13.26195562,-43.54669198
IFBA - CAMPUS IRECE,29397928,BA,Irecê,Urbana,"AVENIDA PROFESSOR JORGE RODRIGUES, 1800 LIBERDADE. 44876-282 Irecê - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-11.32726694,-41.86495263
IFBA - CAMPUS JEQUIE,29397987,BA,Jequié,Urbana,"RUA JEAN TORRES DE OLIVEIRA, SN CIDADE NOVA. KENNEDY. 45201-767 Jequié - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-13.85190506,-40.11697303
IFBA - CAMPUS PAULO AFONSO,29397995,BA,Paulo Afonso,Urbana,"RUA MARCONDES FERRAZ, 200 INSTITUTO FEDERAL. GENERAL DUTRA. 48607-000 Paulo Afonso - BA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.3902954,-38.21591062
IF BAIANO - CAMPUS SENHOR DO BONFIM,29403340,BA,Senhor do Bonfim,Rural,"ESTRADA DA IGARA, S/N ZONA RURAL. 48970-000 Senhor do Bonfim - BA.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.44574766,-40.14766342
IFBA - CAMPUS FEIRA DE SANTANA,29448735,BA,Feira de Santana,Urbana,"AVENIDA DEPUTADO LUIS EDUARDO MAGALHAES, S/Nº ROD. BR 324, KM 102. AVIARIO. 44096-486 Feira de Santana - BA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-12.29131167,-38.91357167
IFBA - CAMPUS SEABRA,29448743,BA,Seabra,Urbana,"ESTRADA VICINAL PARA TENDA, S/N CAMPUS DO IFBA. VERMELHO. 46900-000 Seabra - BA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-12.39954612,-41.78698579
IFBA - CAMPUS ILHEUS,29448751,BA,Ilhéus,Urbana,"RODOVIA JORGE AMADO, KM 13, S/N VILA CACHOEIRA. 45661-700 Ilhéus - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",                              ,                              
IFBA - CAMPUS JACOBINA,29449677,BA,Jacobina,Urbana,"AVENIDA CENTENARIO, 500 NAZARE. 44700-000 Jacobina - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-11.18226693,-40.53666883
IF BAIANO - CAMPUS GOVERNADOR MANGABEIRA,29453917,BA,Governador Mangabeira,Urbana,"RUA WALDEMAR MASCARENHAS, S/N EST. VELHA DA CHESF. PORTAO. 44350-000 Governador Mangabeira - BA.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-12.60824348,-39.03089089
IFBA - CAMPUS BRUMADO,29461332,BA,Brumado,Urbana,"RUA FRANCISCO MANOEL DA CRUZ, 55 SAO JOSE. 46110-364 Brumado - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-14.18879484,-41.67304808
IFBA - CAMPUS JUAZEIRO,29464790,BA,Juazeiro,Urbana,"RODOVIA BA-210, S/N, SENTIDO SOBRADINHO. NOVA JUAZEIRO. 48918-900 Juazeiro - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.4510651,-40.523238
IF BAIANO - CAMPUS SERRINHA,29467730,BA,Serrinha,Urbana,"ESTRADA VICINAL DE APARECIDA, S/N APARECIDA. 48700-000 Serrinha - BA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-11.67927667,-38.983525
IFBA - CAMPUS AVANCADO UBAITABA,29468736,BA,Ubaitaba,Urbana,"RUA JUCA MAGALHAES, SN CENTRO. 45545-000 Ubaitaba - BA.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,-14.31170167,-39.32296333
IFBA - CAMPUS EUCLIDES DA CUNHA,29468744,BA,Euclides da Cunha,Urbana,"AVENIDA RENATO CAMPOS, 900 BR 116 KM 220. NOSSA SRA DA CONCEICAO. 48500-000 Euclides da Cunha - BA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.53707949,-38.99823043
IFBA - CAMPUS SANTO ANTONIO DE JESUS,29469570,BA,Santo Antônio de Jesus,Urbana,"RUA VIRIATO LOBO, S/N CAMPO DO GOVERNO. 44431-218 Santo Antônio de Jesus - BA.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-12.97854833,-39.24789
IF BAIANO - CAMPUS ALAGOINHAS,29473268,BA,Alagoinhas,Urbana,"RUA MANOEL ROMAO DE SOUZA, 152/166 ALAGOINHAS VELHA. 48007-656 Alagoinhas - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-12.14702823,-38.4028398
IF BAIANO - CAMPUS ITABERABA,29473276,BA,Itaberaba,Urbana,"RODOVIA BA-233, S/N PREDIO. 46880-000 Itaberaba - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-12.50466231,-40.25029526
IF BAIANO - CAMPUS XIQUE-XIQUE,29473284,BA,Xique-Xique,Rural,"BA 052, S/N PREDIO. KM 468. 47400-000 Xique-Xique - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.824445,-42.68917
IFBA - CAMPUS LAURO DE FREITAS,29475830,BA,Lauro de Freitas,Urbana,"RUA SAO CRISTOVAO, NOVO HORIZONTE, S/N UNIDADE DE ENSINO. ITINGA. 42739-005 Lauro de Freitas - BA.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",                              ,                              
IFBA - SANTO AMARO,29509602,BA,Santo Amaro,Urbana,"1ª TRAVESSA SAO JOSE, S/N BOMFIM. 44200-000 Santo Amaro - BA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-12.54528702,-38.72153227
IFBA - CAMPUS PORTO SEGURO,29531209,BA,Porto Seguro,Urbana,"BR 367, KM 57,5, S/N FONTANA I. 45810-000 Porto Seguro - BA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-16.43279,-39.09588
IFBA - CAMPUS CAMACARI,29537614,BA,Camaçari,Urbana,"AVENIDA JORGE AMADO, JARDIM LIMOEIRO. 42800-605 Camaçari - BA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",                              ,                              
IFBA - SIMOES FILHO,29680620,BA,Simões Filho,Urbana,"VIA UNIVERSITARIA, S/N PITANGUINHA. 43700-000 Simões Filho - BA.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-12.80772232,-38.38286173
IFCE - CAMPUS FORTALEZA,23066709,CE,Fortaleza,Urbana,"AVENIDA TREZE DE MAIO, 2081 BENFICA. 60040-215 Fortaleza - CE.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-3.744075,-38.5356
IFCE - CAMPUS IGUATU,23142308,CE,Iguatu,Urbana,"RODOVIA CE-060 KM 05, S/N CAJAZEIRAS. 63503-790 Iguatu - CE.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-6.39350595,-39.270463
IFCE - CAMPUS CRATO,23162678,CE,Crato,Rural,"RODOVIA CE - 292, GISELIA PINHEIRO. 63115-500 Crato - CE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-7.20480522,-39.44891301
IFCE - CAMPUS JUAZEIRO DO NORTE,23206403,CE,Juazeiro do Norte,Urbana,"AVENIDA GOVERNADOR PLACIDO ADERALDO CASTELO, 1646 LAGOA SECA. 63040-540 Juazeiro do Norte - CE.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-7.244796,-39.30613
IFCE - CAMPUS ARACATI,23236043,CE,Aracati,Urbana,"CE 040, KM 137.1, S/N AEROPORTO. 62800-000 Aracati - CE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-4.567204393,-37.79145241
IFCE - CAMPUS TIANGUA,23236124,CE,Tianguá,Urbana,"AVENIDA TABELIAO LUIZ NOGUEIRA LIMA, SN SANTO ANTONIO. 62324-075 Tianguá - CE.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,-3.73286517,-41.01269021
IFCE - CAMPUS ACARAU,23236140,CE,Acaraú,Urbana,"AV. DES. ARMANDO DE SOUZA LOUZADA, S/N PROXIMO AO FORUM. MONSENHOR JOSE EDSON MAGALHAES. 62580-000 Acaraú - CE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-2.889068224,-40.11327568
IFCE - CAMPUS QUIXADA,23236159,CE,Quixadá,Urbana,"AVENIDA JOSE DE FREITAS QUEIROZ, 5000 CEDRO. 63902-580 Quixadá - CE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-4.97860681,-39.05897969
IFCE - CAMPUS TAUA,23236167,CE,Tauá,Urbana,"AVENIDA ANTONIO TEIXEIRA BENEVIDES, 01 COLIBRIS. 63660-000 Tauá - CE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-6.002185307,-40.30031928
IFCE - CAMPUS SOBRAL,23236213,CE,Sobral,Urbana,"AV. DR. GUARANY, 317 BETANIA. 62042-030 Sobral - CE.",Mais de 1000 matrículas de escolarização,Educação Profissional,-3.6827,-40.34081
IFCE - CAMPUS BATURITE,23236400,CE,Baturité,Urbana,"RUA OUVIDOR MOR VITORIANO SOARES BARBOSA, S/N SANHARAO. 62760-000 Baturité - CE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-4.343060627,-38.86392331
IFCE - CAMPUS CEDRO,23239301,CE,Cedro,Urbana,"ALAMEDA JOSE QUINTINO, S/N PRADO. 63400-000 Cedro - CE.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-6.601066,-39.05525
IFCE - CAMPUS JAGUARIBE,23240431,CE,Jaguaribe,Urbana,"RUA PEDRO BEZERRA DE MENEZES, 387 MANOEL COSTA MORAIS. 63475-000 Jaguaribe - CE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-5.87930602,-38.60961506
IFCE - CAMPUS CAUCAIA,23245034,CE,Caucaia,Urbana,"RUA FRANCISCO DA ROCHA MARTINS, SN PABUSSU. 61600-050 Caucaia - CE.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-3.730761667,-38.67232833
