Escola,Código INEP,UF,Município,Localização,Endereço,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude,candidate_source,site_type,name,city,state
IFRR - CAMPUS BOA VISTA ZONA OESTE,14007835.0,RR,Boa Vista,Urbana,"RUA PROF NONATO CHACON, 1976 LAURA MOREIRA CONJUNTO CIDADAO. 69318-000 Boa Vista - RR.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",2.7901218,-60.771405,IF,selected_relocated,,,
IFMG - CAMPUS BAMBUI,31031755.0,MG,Bambuí,Rural,"FAZENDA VARGINHA, RODOVIA BAMBUI/MEDEIROS, KM 05 - CAIXA POSTAL 05, S/N ZONA RURAL. 38900-000 Bambuí - MG.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-20.0326946,-46.009347,IF,selected_relocated,,,
IFMT - CAMPUS RONDONOPOLIS,51064740.0,MT,Rondonópolis,Urbana,"RUA ANANIAS MARTINS DE SOUZA, 861 RESIDENCIAL VILA MINEIRA. 78721-520 Rondonópolis - MT.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-16.42189401,-54.62788481,IF,selected_relocated,,,
IFPB - CAMPUS ESPERANCA,25128612.0,PB,Esperança,Urbana,"RODOVIA PB 121, SN CENTRO. 58135-000 Esperança - PB.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-7.023605788,-35.86141909,IF,selected_relocated,,,
IF FARROUPILHA - CAMPUS AVANCADO URUGUAIANA,43050921.0,RS,Uruguaiana,Urbana,"RUA MONTEIRO LOBATO, 4442 CABO LUIS QUEVEDO. 97503-748 Uruguaiana - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-29.78161389,-57.10752829,IF,selected_relocated,,,
,,,,,,,,-14.796632,-39.1724,EXISTING_STATION,selected_relocated,STIL,Ilhéus,BA
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS ARRAIAL DO CABO,33159882.0,RJ,Arraial do Cabo,Urbana,"RUA JOSE PINTO DE MACEDO, PRAINHA. 28930-000 Arraial do Cabo - RJ.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-22.96448456,-42.02692722,IF,selected_relocated,,,
IFCE - CAMPUS ACARAU,23236140.0,CE,Acaraú,Urbana,"AV. DES. ARMANDO DE SOUZA LOUZADA, S/N PROXIMO AO FORUM. MONSENHOR JOSE EDSON MAGALHAES. 62580-000 Acaraú - CE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-2.889068224,-40.11327568,IF,selected_relocated,,,
IFMT - CAMPUS ALTA FLORESTA,51067340.0,MT,Alta Floresta,Urbana,"RODOVIA MT-208, KM138 LOTE 143-A. HAMOA. 78580-000 Alta Floresta - MT.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.908315758,-56.06461133,IF,selected_relocated,,,
IFPR - CAMPUS JAGUARIAIVA,41156161.0,PR,Jaguariaíva,Urbana,"AV ELOA MARTINS PASSOS FELIX ESQ COM PR 151 KM 213,7, PONTE VELHA. 84200-000 Jaguariaíva - PR.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-24.26330124,-49.7189815,IF,selected_relocated,,,
IFAP - CENTRO DE REFERENCIA EM EAD PEDRA BRANCA DO AMAPARI,16011929.0,AP,Pedra Branca do Amapari,Urbana,"AVENIDA FRANCISCO DUTRA, S/N CENTRAL. 68945-000 Pedra Branca do Amapari - AP.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,.7798504045,-51.951852,IF,selected_relocated,,,
IFRO - CAMPUS GUAJARA-MIRIM,11049960.0,RO,Guajará-Mirim,Urbana,"AVENIDA 15 DE NOVEMBRO, 4849 PLANALTO. 76850-000 Guajará-Mirim - RO.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-10.76153277,-65.31563194,IF,selected_relocated,,,
IFPI - CAMPUS SAO RAIMUNDO NONATO,22129570.0,PI,São Raimundo Nonato,Urbana,"RODOVIA BR 020, PRIMAVERA. 64770-000 São Raimundo Nonato - PI.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.0457886,-42.6934197,IF,selected_relocated,,,
IFTO - CAMPUS PORTO NACIONAL,17043980.0,TO,Porto Nacional,Urbana,"AVENIDA TOCANTINIA, S/N LOTEAMENTO MAE DEDE. JARDIM AMERICA. 77500-000 Porto Nacional - TO.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.69226196,-48.39845119,IF,selected_relocated,,,
IFMS - CAMPUS CORUMBA,50082833.0,MS,Corumbá,Urbana,"RUA PEDRO DE MEDEIROS, 941 POPULAR VELHA. 79310-110 Corumbá - MS.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-19.0125164,-57.6408054,IF,selected_relocated,,,
IFNMG - CAMPUS ARINOS,31345440.0,MG,Arinos,Urbana,"RODOVIA 202 KM 392, S/N ARINOS-BURITIS CP 5. ZONA RURAL. 38680-000 Arinos - MG.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-15.92174333,-46.13612833,IF,selected_relocated,,,
IFPA - CAMPUS OBIDOS,15165574.0,PA,Óbidos,Urbana,"RODOVIA PA 437 KM 02, SEM NUMERO INDUSTRIAL. 68250-000 Óbidos - PA.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-1.8815665,-55.5179882,IF,selected_relocated,,,
IFMT - CAMPUS PONTES E LACERDA,51174820.0,MT,Pontes e Lacerda,Urbana,"MT 473, PARQUE MORADA DA SERRA. 78250-000 Pontes e Lacerda - MT.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-15.22824792,-59.35068736,IF,selected_relocated,,,
IFAL - CAMPUS CORURIPE,27050572.0,AL,Coruripe,Urbana,"RODOVIA ENGENHEIRO GUTTEMBERG BREDA NETO, S/N AL-101 SUL. ALTO DO CRUZEIRO. 57230-000 Coruripe - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.12609575,-36.15650743,IF,selected_relocated,,,
